<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.18	107750	108210	106520	106520	23742	173700	5
2019.11.19	107115	107350	105700	106100	17831	114660	5
2019.11.21	105810	107985	105810	107985	20142	128430	5
2019.11.22	107970	108995	107525	108950	17951	121240	5
2019.11.25	109250	109400	108365	108585	16602	105535	5
2019.11.26	108400	108525	106650	107670	25720	170095	5
2019.11.27	107800	108230	106455	107925	25199	160460	5
2019.11.28	107785	108665	107380	108600	17173	123945	5
2019.11.29	108420	109010	107950	108430	23155	143675	5
2019.12.02	108290	109585	108250	109010	26373	169570	5
2019.12.03	109000	109715	108325	109145	25905	162310	5
2019.12.04	109700	110545	109360	110480	19603	128800	5
2019.12.05	110655	111320	110135	110740	19976	130095	5
2019.12.06	110875	111655	110820	111155	18525	123875	5
2019.12.09	110950	111570	110910	111130	14752	98250	5
2019.12.10	110765	111325	110255	110780	19522	129165	5
2019.12.11	111070	111285	110605	111010	15571	96355	5
2019.12.12	111550	112595	111385	112250	22321	148050	5
2019.12.13	112600	112965	111880	112720	24575	163595	5
2019.12.16	112900	113345	111915	112160	15962	102855	5
2019.12.17	112350	112815	111945	112520	19306	124615	5
2019.12.18	113015	114990	113000	114950	21338	138505	5
2019.12.19	114755	115890	114325	115890	19565	135215	5
2019.12.20	115550	116025	115125	115740	17583	114345	5
2019.12.23	115880	116400	115540	116350	10647	64050	5
2019.12.26	116500	117925	116230	117730	12851	89665	5
2019.12.27	117860	118565	116570	116885	19661	125410	5
2019.12.30	117120	117710	115800	115800	16087	100085	5
2020.01.02	117000	119100	116870	119100	25961	168395	5
2020.01.03	117770	119410	117000	118350	31752	209540	5
2020.01.06	117860	118260	116795	117350	37008	225020	5
2020.01.07	117770	117925	116345	117075	28159	175330	5
2020.01.08	117220	117890	116090	116500	34788	240940	5
2020.01.09	117180	117355	115810	116355	34335	223115	5
2020.01.10	116790	117230	115320	115915	25046	174125	5
2020.01.13	116375	117875	116120	117875	28119	177470	5
2020.01.14	117710	118100	116955	117920	22446	178805	5
2020.01.15	117650	117665	116525	116795	28628	177660	5
2020.01.16	117145	117540	116235	117020	27612	173700	5
